ID_ev_booking;date_start;title;subtitle;room;tag1_E;tag2_E;genre;cast_full;program_full
000000e9:001b8b38;2025-10-07T19:00:00;Festival atlântico | Jam Session;;Salle de Musique de Chambre;Music and More;Mood-booster;World;Martina Menichetti (conception) | Martina Menichetti (workshop leader) | Martina Menichetti (flutes) | Martina Menichetti (voice) | Martina Menichetti (keyboard) | Gregório Entringer de Carvalho (voice) | Gregório Entringer de Carvalho (guitar) | Marly Marques (voice) | Ignacio Portuondo Ruiz (Drums) | Ignacio Portuondo Ruiz (percussion);
000000e9:001b5358;2025-10-07T19:30:00;Casser les murs;;Grand Auditorium;External Organiser;;0;Orchestre de Chambre du Luxembourg (orchestre de chambre) | Mateusz Molęda (direction) | Alban Gerhardt (violoncelle);Wojciech Kilar — Orawa | Dmitri Chostakovitch — Concerto pour violoncelle et orchestre N° 1 | Robert Schumann — Symphonie N° 2
000000e9:001b78ff;2025-10-08T12:15:00;Yoga & Schumann;Yoga Flow;Espace Découverte;Music and More;Peaceful;Chamber;Cathy Krier (piano) | Laura Eyer (yoga instructor) | Pascal Monlong (violon);Clara Schumann — Romanzen op. 22: N° 1 Andante molto | Robert Schumann — Sonate für Violine und Klavier N° 1
000000e9:001b89df;2025-10-08T17:30:00;Yoga & Schumann;Yoga Flow;Espace Découverte;Music and More;Peaceful;Chamber;Cathy Krier (piano) | Amelie Kuylenstierna (yoga instructor) | Pascal Monlong (violon);Clara Schumann — Romanzen op. 22: N° 1 Andante molto | Robert Schumann — Sonate für Violine und Klavier N° 1
000000e9:001b9aa8;2025-10-08T19:30:00;Festival atlântico | Gisela João;Inquieta;Salle de Musique de Chambre;World;Soulful;World;Gisela João (vocals) | Luís Pereira (keyboards) | Carles Rodenas Martínez (guitar);
000000e9:001b89e0;2025-10-08T20:00:00;Yoga & Schumann;Yin yoga;Espace Découverte;Music and More;Peaceful;Chamber;Cathy Krier (piano) | Tulsi (yoga instructor) | Pascal Monlong (violon);Clara Schumann — Romanzen op. 22: N° 1 Andante molto | Robert Schumann — Sonate für Violine und Klavier N° 1
000000e9:001b8a1e;2025-10-09T10:00:00;Mon premier Arraial;;Espace Découverte;Without words;3–5 years;0;Paulo Lameiro (conception) | Paulo Lameiro (animation) | Paulo Bernardino (clarinette) | Paulo Bernardino (Elektronik) | Ana Sofia Paiva (voix) | Ana Sofia Paiva (mouvements);
000000e9:001b8b2e;2025-10-09T12:30:00;Festival atlântico | Your musical lunchbreak;Energise your day… with music!;Salon PhilaPhil;Music and More;Mood-booster;World;Martina Menichetti (conception) | Martina Menichetti (atelier musical);
000000e9:001b8a1f;2025-10-09T15:00:00;Mon premier Arraial;;Espace Découverte;Without words;3–5 years;0;Paulo Lameiro (conception) | Paulo Lameiro (animation) | Paulo Bernardino (clarinette) | Paulo Bernardino (Elektronik) | Ana Sofia Paiva (voix) | Ana Sofia Paiva (mouvements);
000000e9:001b8c73;2025-10-09T19:30:00;Festival atlântico | Lamy, Cascais, Wiltgen & Toscano;Compasso Cruzado;Salle de Musique de Chambre;Jazz and More;Soulful;Jazz / Blues;Greg Lamy (guitar) | Ricardo Toscano (saxophone) | Nelson Cascais (double bass) | Paul Wiltgen (drums);
